"州名","見出し","禹貢白文","禹貢日本語訳","比定地","音韻データ","アイヌ語解釈","出典"
"冀州","冀（州）","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","中国の北部一帯。現在の山西省全域、河北省の大部分、河南省の黄河以北、および内モンゴル自治区・遼寧省の一部にまたがる広大な地域。","上古音：「冀」 k i̯ær／k ǐəi／k jəd／k iər／k jiədh","アイヌ語：「冀（州）」
＝「キル・アッ(kir-at)」
＝「山脚が・たくさんある（ところ）」","jomon2_bnum18.html"
"冀州","壺口","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","山西省吉県と陝西省宜川県の境界にある黄河中流の激流「壺口瀑布」および周辺の山。","上古音：「壺」ɡʰ o／ɣ a／ɣ uɑɡ／ɡ waɣ／gw ag
上古音：「口」kʰ u／kʰ ɔ／kʰ ûɡ／kʰ ew／kh ugx","アイヌ語：「壺口」
＝「キル・アク・ク・ク(kir-ak-ku-ku)」
＝「山脚の・弟のor射る・矢（のように鋭い峰）・矢」
※アイヌ語「ク＝弓」。朝鮮半島では「ク＝矢」の可能性。サハリン、シベリアのニヴフ（ギリヤーク）語も「ク＝矢」。","jomon2_bnum18.html"
"冀州","梁","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","現在の陝西省渭南市韓城市の北にある山。黄河の西岸（旧・雍州の東端）。","上古音：「梁」l i̯aŋ／l ǐaŋ／l jaŋ／l iaŋ／l jang","アイヌ語：「梁」
＝「リ・アゥ・ウン(ri-aw-un)」＝「高い・角、枝分かれ・にある（ところ）」","jomon2_bnum18.html"
"冀州","韓原","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","陝西省韓城市の北、黄河の西岸にある梁山（古称は韓原）。","上古音：「韓」ɡʰ ɑn／ɣ an／- -／ɡ an／- -
上古音：「原」ŋ i̯wăn／ŋ ǐwan／ŋ juăn／ŋ jwan／ngw jan","アイヌ語：「韓原」
＝「キル・アゥ・ウン・キル・アゥ・ウン(kir-aw-un-kir-aw-un)」＝「山脚の・角、枝分かれ・にある・山脚の・角、枝分かれ・にある（ところ）」","jomon2_bnum18.html"
"冀州","岐","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","陝西省宝鶏市岐山県にある岐山。","上古音：「岐」ɡʰ i̯ĕɡ／g ǐe／ɡʰ jeɡ／ɡ jieɣ／g jig","アイヌ語：「岐」
＝「キル・アク(kir-ak)」＝「山脚の・弟（のように小さいもの）」","jomon2_bnum18.html"
"冀州","太原","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","山西省のほぼ中央に位置する広大な盆地「太原盆地」。現在の山西省の省都・太原市から臨汾市の北側にかけての一帯。","上古音：「太」tʰ ɑd／tʰ at／- -／tʰ ar／- -
上古音：「原」ŋ i̯wăn／ŋ ǐwan／ŋ juăn／ŋ jwan／ngw jan","アイヌ語：「太原」
＝「テュ・アッ・キル・アゥ・ウン(tu-at-kir-aw-un)」＝「峰が・たくさんある・山脚の・角、枝分かれ・にある（ところ）」","jomon2_bnum18.html"
"冀州","岳","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","山西省臨汾市霍州市の東にある太岳山（別名・霍山）。","上古音：「岳」ŋ ŭk／ŋ eɔk／ŋ uk／ŋ rewk／ng ruk","アイヌ語：「岳」＝「キル・アク(kir-ak)」
＝「山脚の・弟（のように小さいもの）」","jomon2_bnum18.html"
"冀州","霍","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","山西省臨汾市霍州市の東にある太岳山（別名・霍山）。","上古音：「霍」 x wɑk／h uak／x uɑk／x wak／hw ak","アイヌ語：「霍」＝「シル・アク(kir-ak)」
＝「山の・弟（のように小さいもの）」","jomon2_bnum18.html"
"冀州","覃懐","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","河南省西北部、太行山脈の南麓で黄河の北岸に広がる平野。現在の河南省武陟（ぶちょく）県・沁陽（しんよう）市周辺。","上古音：「覃」dʰ əm／d əm／dʰ ə̂m／d əm／d əm
上古音：「懷」ɡʰ wær／ɣ oəi／ɣ uəb, ɣ uəd／ɡ rwər／gw rəb","アイヌ語：「覃懐」
＝「テュ・アム・キル・アッ(tu-am-kir-at)」
＝「峰の・爪の（ように平べったく鋭い）・山が・たくさんある（ところ）」","jomon2_bnum18.html"
"冀州","衡","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","現在の河北省衡水市周辺、および太行山脈から華北平野へ流れ出す河川（現在の滏陽河や古黄河の分流）。","上古音：「衡」ɡʰ ăŋ／ɣ eaŋ／ɣ ăŋ／ɡ raŋ／g rang","アイヌ語：「衡」
＝「キル・アゥ・ウン(kir-aw-un)」
＝「山脚の・角、枝分かれ・にある（ところ）／峰の・角・枝分かれ・にある（ところ）」","jomon2_bnum18.html"
